PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
1880,13-2051.00,Financial and Investment Analysts,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,20
1881,13-2052.00,Personal Financial Advisors,13-2051.00,Financial and Investment Analysts,Primary-Short,1
1882,13-2052.00,Personal Financial Advisors,13-2071.00,Credit Counselors,Primary-Short,2
1883,13-2052.00,Personal Financial Advisors,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Short,3
1884,13-2052.00,Personal Financial Advisors,11-3031.03,Investment Fund Managers,Primary-Short,4
1885,13-2052.00,Personal Financial Advisors,13-2054.00,Financial Risk Specialists,Primary-Short,5
1886,13-2052.00,Personal Financial Advisors,13-2072.00,Loan Officers,Primary-Long,6
1887,13-2052.00,Personal Financial Advisors,11-3031.00,Financial Managers,Primary-Long,7
1888,13-2052.00,Personal Financial Advisors,13-2011.00,Accountants and Auditors,Primary-Long,8
1889,13-2052.00,Personal Financial Advisors,41-3021.00,Insurance Sales Agents,Primary-Long,9
1890,13-2052.00,Personal Financial Advisors,13-2061.00,Financial Examiners,Primary-Long,10
1891,13-2052.00,Personal Financial Advisors,13-2041.00,Credit Analysts,Supplemental,11
1892,13-2052.00,Personal Financial Advisors,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Supplemental,12
1893,13-2052.00,Personal Financial Advisors,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,13
1894,13-2052.00,Personal Financial Advisors,13-2082.00,Tax Preparers,Supplemental,14
1895,13-2052.00,Personal Financial Advisors,43-4011.00,Brokerage Clerks,Supplemental,15
1896,13-2052.00,Personal Financial Advisors,43-4141.00,New Accounts Clerks,Supplemental,16
1897,13-2052.00,Personal Financial Advisors,13-2031.00,Budget Analysts,Supplemental,17
1898,13-2052.00,Personal Financial Advisors,13-1111.00,Management Analysts,Supplemental,18
1899,13-2052.00,Personal Financial Advisors,43-4131.00,Loan Interviewers and Clerks,Supplemental,19
1900,13-2052.00,Personal Financial Advisors,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,20
1901,13-2053.00,Insurance Underwriters,13-2054.00,Financial Risk Specialists,Primary-Short,1
1902,13-2053.00,Insurance Underwriters,13-2072.00,Loan Officers,Primary-Short,2
1903,13-2053.00,Insurance Underwriters,13-2041.00,Credit Analysts,Primary-Short,3
1904,13-2053.00,Insurance Underwriters,41-3021.00,Insurance Sales Agents,Primary-Short,4
1905,13-2053.00,Insurance Underwriters,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Primary-Short,5
1906,13-2053.00,Insurance Underwriters,13-2052.00,Personal Financial Advisors,Primary-Long,6
1907,13-2053.00,Insurance Underwriters,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,7
1908,13-2053.00,Insurance Underwriters,43-4131.00,Loan Interviewers and Clerks,Primary-Long,8
1909,13-2053.00,Insurance Underwriters,13-2051.00,Financial and Investment Analysts,Primary-Long,9
1910,13-2053.00,Insurance Underwriters,13-2071.00,Credit Counselors,Primary-Long,10
1911,13-2053.00,Insurance Underwriters,43-9041.00,Insurance Claims and Policy Processing Clerks,Supplemental,11
1912,13-2053.00,Insurance Underwriters,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Supplemental,12
1913,13-2053.00,Insurance Underwriters,43-4011.00,Brokerage Clerks,Supplemental,13
1914,13-2053.00,Insurance Underwriters,15-2011.00,Actuaries,Supplemental,14
1915,13-2053.00,Insurance Underwriters,23-2093.00,"Title Examiners, Abstractors, and Searchers",Supplemental,15
1916,13-2053.00,Insurance Underwriters,11-3031.03,Investment Fund Managers,Supplemental,16
1917,13-2053.00,Insurance Underwriters,13-2061.00,Financial Examiners,Supplemental,17
1918,13-2053.00,Insurance Underwriters,11-3031.00,Financial Managers,Supplemental,18
1919,13-2053.00,Insurance Underwriters,13-2011.00,Accountants and Auditors,Supplemental,19
1920,13-2053.00,Insurance Underwriters,13-2023.00,Appraisers and Assessors of Real Estate,Supplemental,20
1921,13-2054.00,Financial Risk Specialists,13-2099.01,Financial Quantitative Analysts,Primary-Short,1
1922,13-2054.00,Financial Risk Specialists,13-2051.00,Financial and Investment Analysts,Primary-Short,2
1923,13-2054.00,Financial Risk Specialists,11-3031.03,Investment Fund Managers,Primary-Short,3
1924,13-2054.00,Financial Risk Specialists,13-2052.00,Personal Financial Advisors,Primary-Short,4
1925,13-2054.00,Financial Risk Specialists,13-1111.00,Management Analysts,Primary-Short,5
1926,13-2054.00,Financial Risk Specialists,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,6
1927,13-2054.00,Financial Risk Specialists,13-2041.00,Credit Analysts,Primary-Long,7
1928,13-2054.00,Financial Risk Specialists,15-2051.01,Business Intelligence Analysts,Primary-Long,8
1929,13-2054.00,Financial Risk Specialists,13-2061.00,Financial Examiners,Primary-Long,9
1930,13-2054.00,Financial Risk Specialists,11-3031.00,Financial Managers,Primary-Long,10
1931,13-2054.00,Financial Risk Specialists,13-2053.00,Insurance Underwriters,Supplemental,11
1932,13-2054.00,Financial Risk Specialists,13-1041.07,Regulatory Affairs Specialists,Supplemental,12
1933,13-2054.00,Financial Risk Specialists,15-2031.00,Operations Research Analysts,Supplemental,13
1934,13-2054.00,Financial Risk Specialists,13-1199.04,Business Continuity Planners,Supplemental,14
1935,13-2054.00,Financial Risk Specialists,11-9199.02,Compliance Managers,Supplemental,15
1936,13-2054.00,Financial Risk Specialists,13-2011.00,Accountants and Auditors,Supplemental,16
1937,13-2054.00,Financial Risk Specialists,11-9199.01,Regulatory Affairs Managers,Supplemental,17
1938,13-2054.00,Financial Risk Specialists,11-9199.08,Loss Prevention Managers,Supplemental,18
1939,13-2054.00,Financial Risk Specialists,13-1161.00,Market Research Analysts and Marketing Specialists,Supplemental,19
1940,13-2054.00,Financial Risk Specialists,33-9099.02,Retail Loss Prevention Specialists,Supplemental,20
1941,13-2061.00,Financial Examiners,13-2011.00,Accountants and Auditors,Primary-Short,1
1942,13-2061.00,Financial Examiners,11-9199.02,Compliance Managers,Primary-Short,2
1943,13-2061.00,Financial Examiners,13-2041.00,Credit Analysts,Primary-Short,3
1944,13-2061.00,Financial Examiners,11-3031.01,Treasurers and Controllers,Primary-Short,4
1945,13-2061.00,Financial Examiners,13-2099.04,"Fraud Examiners, Investigators and Analysts",Primary-Short,5
1946,13-2061.00,Financial Examiners,13-2054.00,Financial Risk Specialists,Primary-Long,6
1947,13-2061.00,Financial Examiners,11-3031.00,Financial Managers,Primary-Long,7
1948,13-2061.00,Financial Examiners,13-2051.00,Financial and Investment Analysts,Primary-Long,8
1949,13-2061.00,Financial Examiners,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Primary-Long,9
1950,13-2061.00,Financial Examiners,13-2072.00,Loan Officers,Primary-Long,10
1951,13-2061.00,Financial Examiners,13-1111.00,Management Analysts,Supplemental,11
1952,13-2061.00,Financial Examiners,13-2031.00,Budget Analysts,Supplemental,12
1953,13-2061.00,Financial Examiners,11-3031.03,Investment Fund Managers,Supplemental,13
1954,13-2061.00,Financial Examiners,11-1011.00,Chief Executives,Supplemental,14
1955,13-2061.00,Financial Examiners,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Supplemental,15
1956,13-2061.00,Financial Examiners,13-2052.00,Personal Financial Advisors,Supplemental,16
1957,13-2061.00,Financial Examiners,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Supplemental,17
1958,13-2061.00,Financial Examiners,11-3013.01,Security Managers,Supplemental,18
1959,13-2061.00,Financial Examiners,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,19
1960,13-2061.00,Financial Examiners,43-4061.00,"Eligibility Interviewers, Government Programs",Supplemental,20
1961,13-2071.00,Credit Counselors,13-2052.00,Personal Financial Advisors,Primary-Short,1
1962,13-2071.00,Credit Counselors,13-2072.00,Loan Officers,Primary-Short,2
1963,13-2071.00,Credit Counselors,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Primary-Short,3
1964,13-2071.00,Credit Counselors,13-2041.00,Credit Analysts,Primary-Short,4
1965,13-2071.00,Credit Counselors,43-4131.00,Loan Interviewers and Clerks,Primary-Short,5
1966,13-2071.00,Credit Counselors,13-2051.00,Financial and Investment Analysts,Primary-Long,6
1967,13-2071.00,Credit Counselors,43-4061.00,"Eligibility Interviewers, Government Programs",Primary-Long,7
1968,13-2071.00,Credit Counselors,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,8
1969,13-2071.00,Credit Counselors,11-3031.00,Financial Managers,Primary-Long,9
1970,13-2071.00,Credit Counselors,43-3011.00,Bill and Account Collectors,Primary-Long,10
1971,13-2071.00,Credit Counselors,21-1015.00,Rehabilitation Counselors,Supplemental,11
1972,13-2071.00,Credit Counselors,43-4141.00,New Accounts Clerks,Supplemental,12
1973,13-2071.00,Credit Counselors,13-2082.00,Tax Preparers,Supplemental,13
1974,13-2071.00,Credit Counselors,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Supplemental,14
1975,13-2071.00,Credit Counselors,43-4051.00,Customer Service Representatives,Supplemental,15
1976,13-2071.00,Credit Counselors,41-3021.00,Insurance Sales Agents,Supplemental,16
1977,13-2071.00,Credit Counselors,21-1021.00,"Child, Family, and School Social Workers",Supplemental,17
1978,13-2071.00,Credit Counselors,43-9041.00,Insurance Claims and Policy Processing Clerks,Supplemental,18
1979,13-2071.00,Credit Counselors,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,19
1980,13-2071.00,Credit Counselors,13-2011.00,Accountants and Auditors,Supplemental,20
1981,13-2072.00,Loan Officers,43-4131.00,Loan Interviewers and Clerks,Primary-Short,1
1982,13-2072.00,Loan Officers,13-2041.00,Credit Analysts,Primary-Short,2
1983,13-2072.00,Loan Officers,13-2071.00,Credit Counselors,Primary-Short,3
1984,13-2072.00,Loan Officers,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Primary-Short,4
1985,13-2072.00,Loan Officers,13-2052.00,Personal Financial Advisors,Primary-Short,5
1986,13-2072.00,Loan Officers,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Primary-Long,6
1987,13-2072.00,Loan Officers,11-3031.00,Financial Managers,Primary-Long,7
1988,13-2072.00,Loan Officers,13-2051.00,Financial and Investment Analysts,Primary-Long,8
1989,13-2072.00,Loan Officers,43-4141.00,New Accounts Clerks,Primary-Long,9
1990,13-2072.00,Loan Officers,43-3011.00,Bill and Account Collectors,Primary-Long,10
1991,13-2072.00,Loan Officers,43-4011.00,Brokerage Clerks,Supplemental,11
1992,13-2072.00,Loan Officers,13-2053.00,Insurance Underwriters,Supplemental,12
1993,13-2072.00,Loan Officers,13-2061.00,Financial Examiners,Supplemental,13
1994,13-2072.00,Loan Officers,41-3021.00,Insurance Sales Agents,Supplemental,14
1995,13-2072.00,Loan Officers,43-3071.00,Tellers,Supplemental,15
1996,13-2072.00,Loan Officers,41-9021.00,Real Estate Brokers,Supplemental,16
1997,13-2072.00,Loan Officers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Supplemental,17
1998,13-2072.00,Loan Officers,13-2011.00,Accountants and Auditors,Supplemental,18
1999,13-2072.00,Loan Officers,43-9041.00,Insurance Claims and Policy Processing Clerks,Supplemental,19
2000,13-2072.00,Loan Officers,13-2082.00,Tax Preparers,Supplemental,20
2001,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2082.00,Tax Preparers,Primary-Short,1
2002,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-3011.00,Bill and Account Collectors,Primary-Short,2
2003,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2011.00,Accountants and Auditors,Primary-Short,3
2004,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-4041.00,"Credit Authorizers, Checkers, and Clerks",Primary-Short,4
2005,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Primary-Short,5
2006,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-4061.00,"Eligibility Interviewers, Government Programs",Primary-Long,6
2007,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-3021.00,Billing and Posting Clerks,Primary-Long,7
2008,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2061.00,Financial Examiners,Primary-Long,8
2009,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2031.00,Budget Analysts,Primary-Long,9
2010,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-3051.00,Payroll and Timekeeping Clerks,Primary-Long,10
2011,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2041.00,Credit Analysts,Supplemental,11
2012,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-1031.00,"Claims Adjusters, Examiners, and Investigators",Supplemental,12
2013,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-9041.00,Insurance Claims and Policy Processing Clerks,Supplemental,13
2014,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2071.00,Credit Counselors,Supplemental,14
2015,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2072.00,Loan Officers,Supplemental,15
2016,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-4031.00,"Court, Municipal, and License Clerks",Supplemental,16
2017,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2023.00,Appraisers and Assessors of Real Estate,Supplemental,17
2018,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",13-2052.00,Personal Financial Advisors,Supplemental,18
2019,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",23-2093.00,"Title Examiners, Abstractors, and Searchers",Supplemental,19
2020,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",43-4051.00,Customer Service Representatives,Supplemental,20
2021,13-2082.00,Tax Preparers,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Primary-Short,1
2022,13-2082.00,Tax Preparers,13-2011.00,Accountants and Auditors,Primary-Short,2
2023,13-2082.00,Tax Preparers,13-2052.00,Personal Financial Advisors,Primary-Short,3
2024,13-2082.00,Tax Preparers,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Primary-Short,4
2025,13-2082.00,Tax Preparers,13-2071.00,Credit Counselors,Primary-Short,5
2026,13-2082.00,Tax Preparers,13-2041.00,Credit Analysts,Primary-Long,6
2027,13-2082.00,Tax Preparers,13-2072.00,Loan Officers,Primary-Long,7
2028,13-2082.00,Tax Preparers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Primary-Long,8
2029,13-2082.00,Tax Preparers,13-2061.00,Financial Examiners,Primary-Long,9
2030,13-2082.00,Tax Preparers,43-4011.00,Brokerage Clerks,Primary-Long,10
